"","X1","X2","count"
"164",12,6,8
"165",13,3,8
"166",14,11,8
"167",15,3,8
"168",16,16,8
"169",1,1,9
"170",2,NA,9
"171",3,6,9
"172",3,13,9
"173",3,15,9
"174",4,4,9
"175",5,11,9
"176",6,3,9
"177",6,12,9
"178",7,7,9
"179",8,8,9
"180",9,12,9
"181",10,10,9
"182",11,14,9
"183",12,6,9
"184",12,9,9
"185",12,13,9
"186",13,2,9
"187",13,12,9
"188",14,NA,9
"189",15,3,9
"190",16,11,9
"191",1,4,10
"192",2,12,10
"193",3,6,10
"194",4,NA,10
"195",5,5,10
"196",6,3,10
"197",7,7,10
"198",8,9,10
"199",9,8,10
"200",10,12,10
"201",10,14,10
"202",11,11,10
"203",12,2,10
"204",12,10,10
"205",13,13,10
"206",14,4,10
"207",14,10,10
"208",15,3,10
"209",16,16,10
"210",1,1,11
"211",2,3,11
"212",2,11,11
"213",2,15,11
"214",3,2,11
"215",4,5,11
"216",4,9,11
"217",5,4,11
"218",6,12,11
"219",7,7,11
"220",8,9,11
"221",9,4,11
"222",9,8,11
"223",10,10,11
"224",11,14,11
"225",12,6,11
"226",13,13,11
"227",14,11,11
"228",15,2,11
"229",16,16,11
"230",1,1,12
"231",2,3,12
"232",3,2,12
"233",3,12,12
"234",4,4,12
"235",5,9,12
"236",6,12,12
"237",7,7,12
"238",8,11,12
"239",8,16,12
"240",9,2,12
"241",10,16,12
"242",11,8,12
"243",11,14,12
"244",12,3,12
"245",12,6,12
"246",12,13,12
"247",13,12,12
"248",14,11,12
"249",15,15,12
"250",16,NA,12
"251",1,1,13
"252",2,13,13
"253",3,3,13
"254",4,4,13
"255",5,10,13
"256",6,12,13
"257",7,10,13
"258",7,14,13
"259",8,10,13
"260",9,9,13
"261",10,NA,13
"262",11,NA,13
"263",12,6,13
"264",12,13,13
"265",13,2,13
"266",13,12,13
"267",14,7,13
"268",15,15,13
"269",16,11,13
"270",1,6,14
"271",2,12,14
"272",2,13,14
"273",3,5,14
"274",3,6,14
"275",4,4,14
"276",5,3,14
"277",6,12,14
"278",7,7,14
"279",8,10,14
"280",9,9,14
"281",10,8,14
"282",10,11,14
"283",11,10,14
"284",12,2,14
"285",12,6,14
"286",12,13,14
"287",13,12,14
"288",13,15,14
"289",14,10,14
"290",14,16,14
"291",15,13,14
"292",16,14,14
"293",1,1,15
"294",2,3,15
"295",2,11,15
"296",3,15,15
"297",4,NA,15
"298",5,4,15
"299",6,12,15
"300",7,NA,15
"301",8,8,15
"302",9,9,15
"303",10,7,15
"304",10,11,15
"305",10,13,15
"306",11,10,15
"307",11,14,15
"308",12,6,15
"309",12,16,15
"310",13,10,15
"311",14,11,15
"312",15,3,15
"313",16,12,15
"314",1,1,16
"315",2,5,16
"316",2,6,16
"317",2,12,16
"318",2,15,16
"319",3,6,16
"320",3,15,16
"321",4,5,16
"322",5,2,16
"323",5,4,16
"324",6,3,16
"325",6,12,16
"326",6,13,16
"327",7,10,16
"328",8,9,16
"329",9,8,16
"330",10,7,16
"331",10,11,16
"332",11,10,16
"333",12,2,16
"334",12,3,16
"335",13,NA,16
"336",14,14,16
"337",15,2,16
"338",15,13,16
"339",16,16,16
"340",1,1,17
"341",2,3,17
"342",2,13,17
"343",3,2,17
"344",4,4,17
"345",5,5,17
"346",6,13,17
"347",7,7,17
"348",8,9,17
"349",9,8,17
"350",10,11,17
"351",11,10,17
"352",12,13,17
"353",13,2,17
"354",13,6,17
"355",13,12,17
"356",14,11,17
"357",15,15,17
"358",16,16,17
"359",1,NA,18
"360",2,12,18
"361",3,5,18
"362",4,5,18
"363",5,3,18
"364",5,4,18
"365",5,11,18
"366",6,6,18
"367",7,1,18
"368",7,10,18
"369",8,11,18
"370",9,9,18
"371",10,7,18
"372",10,11,18
"373",11,8,18
"374",11,10,18
"375",11,14,18
"376",12,2,18
"377",12,10,18
"378",12,13,18
"379",13,NA,18
"380",14,11,18
"381",15,15,18
"382",16,16,18
"383",1,2,19
"384",2,3,19
"385",2,12,19
"386",3,2,19
"387",3,7,19
"388",3,15,19
"389",4,4,19
"390",5,5,19
"391",6,6,19
"392",7,10,19
"393",8,10,19
"394",9,9,19
"395",10,7,19
"396",10,8,19
"397",10,11,19
"398",10,14,19
"399",11,10,19
"400",12,2,19
"401",12,13,19
"402",13,12,19
"403",14,3,19
"404",14,10,19
"405",15,3,19
"406",16,16,19
"407",1,NA,20
"408",2,1,20
"409",2,13,20
"410",3,12,20
"411",4,4,20
"412",5,10,20
"413",6,6,20
"414",7,11,20
"415",8,11,20
"416",9,9,20
"417",10,7,20
"418",10,11,20
"419",11,7,20
"420",11,8,20
"421",11,10,20
"422",12,13,20
"423",12,16,20
"424",13,2,20
"425",13,12,20
"426",14,14,20
"427",15,15,20
"428",16,NA,20
"429",1,4,21
"430",1,8,21
"431",2,5,21
"432",3,3,21
"433",4,NA,21
"434",5,2,21
"435",5,7,21
"436",5,8,21
"437",6,12,21
"438",6,16,21
"439",7,NA,21
"440",8,5,21
"441",8,9,21
"442",9,8,21
"443",10,7,21
"444",10,11,21
"445",11,10,21
"446",12,6,21
"447",12,13,21
"448",13,2,21
"449",13,12,21
"450",14,14,21
"451",15,15,21
"452",16,6,21
"453",1,1,22
"454",2,12,22
"455",3,15,22
"456",4,14,22
"457",5,7,22
"458",6,12,22
"459",6,13,22
"460",7,10,22
"461",8,8,22
"462",9,9,22
"463",10,7,22
"464",10,14,22
"465",11,7,22
"466",11,14,22
"467",12,6,22
"468",12,13,22
"469",13,6,22
"470",13,12,22
"471",14,10,22
"472",15,NA,22
"473",16,4,22
"474",1,1,23
"475",2,2,23
"476",3,3,23
"477",4,5,23
"478",5,4,23
"479",6,12,23
"480",7,10,23
"481",8,9,23
"482",9,7,23
"483",9,8,23
"484",10,7,23
"485",11,10,23
"486",11,14,23
"487",11,16,23
"488",12,6,23
"489",12,13,23
"490",13,NA,23
"491",14,NA,23
"492",15,9,23
"493",16,11,23
"494",1,NA,24
"495",2,5,24
"496",3,6,24
"497",4,4,24
"498",5,2,24
"499",6,NA,24
"500",7,16,24
"501",8,2,24
"502",8,9,24
"503",9,8,24
"504",9,11,24
"505",10,11,24
"506",11,9,24
"507",11,10,24
"508",12,13,24
"509",12,14,24
"510",13,12,24
"511",14,3,24
"512",14,12,24
"513",15,15,24
"514",16,1,24
"515",16,7,24
"516",1,1,25
"517",2,3,25
"518",3,2,25
"519",4,5,25
"520",5,NA,25
"521",6,6,25
"522",7,11,25
"523",8,8,25
"524",9,9,25
"525",10,11,25
"526",11,7,25
"527",11,10,25
"528",11,14,25
"529",12,12,25
"530",13,13,25
"531",14,NA,25
"532",15,15,25
"533",16,16,25
"534",1,9,26
"535",2,NA,26
"536",3,2,26
"537",3,12,26
"538",3,15,26
"539",4,5,26
"540",5,4,26
"541",6,6,26
"542",7,11,26
"543",8,9,26
"544",8,10,26
"545",9,1,26
"546",9,8,26
"547",10,8,26
"548",10,11,26
"549",11,7,26
"550",11,14,26
"551",12,3,26
"552",13,13,26
"553",14,11,26
"554",15,NA,26
"555",16,16,26
"556",1,13,27
"557",2,4,27
"558",2,5,27
"559",3,2,27
"560",4,NA,27
"561",5,2,27
"562",6,8,27
"563",7,10,27
"564",8,9,27
"565",9,8,27
"566",10,7,27
"567",10,11,27
"568",10,14,27
"569",11,10,27
"570",12,NA,27
"571",13,12,27
"572",14,10,27
"573",14,11,27
"574",15,15,27
"575",16,10,27
"576",1,4,28
"577",2,3,28
"578",3,1,28
"579",3,2,28
"580",4,1,28
"581",4,5,28
"582",5,4,28
"583",6,12,28
"584",6,13,28
"585",7,10,28
"586",8,6,28
"587",9,NA,28
"588",10,7,28
"589",11,14,28
"590",12,6,28
"591",12,13,28
"592",13,6,28
"593",13,12,28
"594",14,11,28
"595",15,15,28
"596",16,9,28
"597",16,11,28
"598",1,1,29
"599",2,3,29
"600",2,12,29
"601",2,13,29
"602",3,5,29
"603",4,5,29
"604",5,3,29
"605",5,4,29
"606",5,15,29
"607",6,16,29
"608",7,7,29
"609",8,11,29
"610",8,16,29
"611",9,9,29
"612",10,10,29
"613",11,8,29
"614",12,2,29
"615",12,13,29
"616",13,2,29
"617",14,14,29
"618",15,NA,29
"619",16,6,29
"620",1,1,30
"621",2,7,30
"622",3,2,30
"623",3,5,30
"624",3,6,30
"625",4,5,30
"626",5,4,30
"627",6,3,30
"628",6,13,30
"629",7,2,30
"630",7,10,30
"631",8,9,30
"632",8,10,30
"633",9,8,30
"634",10,NA,30
"635",11,10,30
"636",12,12,30
"637",13,6,30
"638",14,8,30
"639",15,15,30
"640",16,16,30
"641",1,1,31
"642",2,5,31
"643",3,5,31
"644",4,5,31
"645",5,2,31
"646",5,3,31
"647",5,4,31
"648",6,7,31
"649",6,12,31
"650",7,10,31
"651",7,11,31
"652",8,2,31
"653",9,2,31
"654",10,7,31
"655",10,9,31
"656",10,11,31
"657",11,7,31
"658",11,10,31
"659",12,6,31
"660",13,13,31
"661",14,14,31
"662",15,15,31
"663",16,16,31
"664",1,1,32
"665",2,3,32
"666",3,2,32
"667",4,2,32
"668",4,5,32
"669",5,2,32
"670",5,4,32
"671",6,NA,32
"672",7,7,32
"673",8,9,32
"674",9,NA,32
"675",10,10,32
"676",11,14,32
"677",12,6,32
"678",12,13,32
"679",13,8,32
"680",13,12,32
"681",14,11,32
"682",15,15,32
"683",16,16,32
"684",1,1,33
"685",2,2,33
"686",3,3,33
"687",4,5,33
"688",5,4,33
"689",6,12,33
"690",7,10,33
"691",7,13,33
"692",8,10,33
"693",8,12,33
"694",9,9,33
"695",10,7,33
"696",10,8,33
"697",11,11,33
"698",12,6,33
"699",13,7,33
"700",14,10,33
"701",15,15,33
"702",16,16,33
"703",1,1,34
"704",2,3,34
"705",2,5,34
"706",2,13,34
"707",3,NA,34
"708",4,9,34
"709",5,NA,34
"710",6,6,34
"711",7,10,34
"712",8,8,34
"713",9,4,34
"714",10,7,34
"715",10,11,34
"716",11,10,34
"717",12,12,34
"718",13,2,34
"719",14,14,34
"720",15,15,34
"721",16,16,34
"722",1,1,35
"723",2,NA,35
"724",3,2,35
"725",3,6,35
"726",4,5,35
"727",5,NA,35
"728",6,5,35
"729",6,12,35
"730",7,7,35
"731",8,8,35
"732",9,9,35
"733",10,10,35
"734",11,14,35
"735",12,6,35
"736",13,13,35
"737",14,11,35
"738",15,4,35
"739",16,16,35
"740",1,1,36
"741",2,5,36
"742",3,3,36
"743",4,4,36
"744",5,NA,36
"745",6,12,36
"746",7,10,36
"747",8,10,36
"748",9,9,36
"749",10,NA,36
"750",11,11,36
"751",12,6,36
"752",13,13,36
"753",14,14,36
"754",15,15,36
"755",16,16,36
"756",1,9,37
"757",2,14,37
"758",3,4,37
"759",3,5,37
"760",3,14,37
"761",4,3,37
"762",5,3,37
"763",6,NA,37
"764",7,3,37
"765",7,10,37
"766",8,9,37
"767",9,1,37
"768",9,8,37
"769",10,7,37
"770",10,14,37
"771",11,11,37
"772",12,6,37
"773",12,13,37
"774",12,15,37
"775",13,12,37
"776",13,16,37
"777",14,2,37
"778",14,3,37
"779",14,10,37
"780",15,NA,37
"781",16,9,37
"782",16,13,37
"783",1,1,38
"784",2,3,38
"785",2,10,38
"786",2,13,38
"787",3,2,38
"788",3,15,38
"789",4,5,38
"790",5,2,38
"791",5,3,38
"792",5,4,38
"793",6,12,38
"794",7,10,38
"795",8,8,38
"796",9,9,38
"797",10,2,38
"798",10,7,38
"799",10,11,38
"800",11,10,38
"801",12,6,38
"802",13,2,38
"803",14,14,38
"804",15,3,38
"805",16,16,38
"806",1,10,39
"807",2,3,39
"808",2,13,39
"809",3,2,39
"810",4,4,39
"811",5,5,39
"812",6,12,39
"813",7,10,39
"814",8,9,39
"815",8,10,39
"816",9,3,39
"817",9,8,39
"818",10,8,39
"819",11,14,39
"820",12,NA,39
"821",13,2,39
"822",14,11,39
"823",14,15,39
"824",15,14,39
"825",16,16,39
"826",1,3,40
"827",1,7,40
"828",2,5,40
"829",2,7,40
"830",3,1,40
"831",4,5,40
"832",4,7,40
"833",4,16,40
"834",5,2,40
"835",5,4,40
"836",6,12,40
"837",6,13,40
"838",7,2,40
"839",7,4,40
"840",8,9,40
"841",8,10,40
"842",9,8,40
"843",10,8,40
"844",10,9,40
"845",10,11,40
"846",11,10,40
"847",11,14,40
"848",12,6,40
"849",12,13,40
"850",13,6,40
"851",13,12,40
"852",14,11,40
"853",14,13,40
"854",15,15,40
"855",16,4,40
"856",1,1,41
"857",2,2,41
"858",3,3,41
"859",4,5,41
"860",5,4,41
"861",6,6,41
"862",7,7,41
"863",8,9,41
"864",8,10,41
"865",9,8,41
"866",10,8,41
"867",10,14,41
"868",11,11,41
"869",12,12,41
"870",13,13,41
"871",14,10,41
"872",15,15,41
"873",16,16,41
"874",1,1,42
"875",2,3,42
"876",3,2,42
"877",4,5,42
"878",4,15,42
"879",5,4,42
"880",5,12,42
"881",6,6,42
"882",7,10,42
"883",8,10,42
"884",8,11,42
"885",9,13,42
"886",10,7,42
"887",10,8,42
"888",11,8,42
"889",12,15,42
"890",13,NA,42
"891",14,14,42
"892",15,4,42
"893",16,16,42
"894",1,16,43
"895",2,3,43
"896",2,5,43
"897",2,13,43
"898",3,2,43
"899",4,4,43
"900",5,2,43
"901",6,6,43
"902",7,11,43
"903",8,9,43
"904",8,10,43
"905",8,11,43
"906",9,8,43
"907",9,14,43
"908",10,8,43
"909",10,11,43
"910",11,8,43
"911",11,10,43
"912",11,13,43
"913",12,13,43
"914",13,2,43
"915",13,11,43
"916",13,12,43
"917",14,NA,43
"918",15,15,43
"919",16,1,43
"920",1,1,44
"921",2,3,44
"922",3,2,44
"923",3,6,44
"924",3,12,44
"925",3,15,44
"926",4,NA,44
"927",5,2,44
"928",5,3,44
"929",5,4,44
"930",6,3,44
"931",6,13,44
"932",7,7,44
"933",8,9,44
"934",9,2,44
"935",9,8,44
"936",10,9,44
"937",11,14,44
"938",11,16,44
"939",12,3,44
"940",12,13,44
"941",13,6,44
"942",13,12,44
"943",14,11,44
"944",15,3,44
"945",16,11,44
"946",16,14,44
"947",1,8,45
"948",2,2,45
"949",3,3,45
"950",4,4,45
"951",5,9,45
"952",6,12,45
"953",7,10,45
"954",7,11,45
"955",8,NA,45
"956",9,5,45
"957",10,7,45
"958",11,NA,45
"959",12,6,45
"960",13,12,45
"961",14,16,45
"962",15,15,45
"963",16,14,45
"964",1,13,46
"965",2,5,46
"966",2,12,46
"967",3,15,46
"968",4,8,46
"969",5,2,46
"970",5,16,46
"971",6,NA,46
"972",7,10,46
"973",8,9,46
"974",9,2,46
"975",9,8,46
"976",9,11,46
"977",10,5,46
"978",10,7,46
"979",10,11,46
"980",11,9,46
"981",11,10,46
"982",11,14,46
"983",12,2,46
"984",12,6,46
"985",12,13,46
"986",13,12,46
"987",14,7,46
"988",14,11,46
"989",15,3,46
"990",16,5,46
"991",1,NA,47
"992",2,2,47
"993",3,6,47
"994",3,9,47
"995",4,15,47
"996",5,5,47
"997",6,3,47
"998",7,7,47
"999",8,10,47
"1000",9,NA,47
"1001",10,8,47
"1002",11,11,47
"1003",12,1,47
"1004",12,6,47
"1005",12,13,47
"1006",13,12,47
"1007",14,14,47
"1008",15,16,47
"1009",16,NA,47
"1010",1,1,48
"1011",2,3,48
"1012",3,2,48
"1013",3,12,48
"1014",4,13,48
"1015",5,5,48
"1016",6,6,48
"1017",7,10,48
"1018",8,9,48
"1019",9,8,48
"1020",10,7,48
"1021",10,11,48
"1022",11,14,48
"1023",12,3,48
"1024",13,NA,48
"1025",14,10,48
"1026",14,11,48
"1027",15,15,48
"1028",16,16,48
"1029",1,16,49
"1030",2,3,49
"1031",2,16,49
"1032",3,2,49
"1033",4,4,49
"1034",5,5,49
"1035",6,12,49
"1036",6,13,49
"1037",7,10,49
"1038",8,8,49
"1039",9,9,49
"1040",10,7,49
"1041",11,11,49
"1042",12,13,49
"1043",13,6,49
"1044",14,14,49
"1045",15,15,49
"1046",16,NA,49
"1047",1,5,50
"1048",2,2,50
"1049",3,NA,50
"1050",4,4,50
"1051",5,NA,50
"1052",6,13,50
"1053",7,10,50
"1054",8,10,50
"1055",8,11,50
"1056",9,9,50
"1057",10,NA,50
"1058",11,3,50
"1059",11,8,50
"1060",11,14,50
"1061",12,12,50
"1062",13,6,50
"1063",13,16,50
"1064",14,11,50
"1065",15,15,50
"1066",16,13,50
"1067",1,NA,51
"1068",2,5,51
"1069",3,3,51
"1070",4,5,51
"1071",5,4,51
"1072",6,6,51
"1073",7,1,51
"1074",7,10,51
"1075",7,11,51
"1076",8,9,51
"1077",8,10,51
"1078",9,8,51
"1079",10,7,51
"1080",10,8,51
"1081",10,11,51
"1082",11,10,51
"1083",11,14,51
"1084",12,12,51
"1085",13,13,51
"1086",14,10,51
"1087",14,11,51
"1088",15,15,51
"1089",16,16,51
"1090",1,6,52
"1091",2,12,52
"1092",3,2,52
"1093",3,12,52
"1094",3,15,52
"1095",4,4,52
"1096",5,16,52
"1097",6,NA,52
"1098",7,10,52
"1099",8,10,52
"1100",9,8,52
"1101",10,7,52
"1102",10,8,52
"1103",10,14,52
"1104",11,14,52
"1105",12,6,52
"1106",13,13,52
"1107",14,10,52
"1108",14,11,52
"1109",15,NA,52
"1110",16,NA,52
"1111",1,13,53
"1112",2,2,53
"1113",3,3,53
"1114",4,NA,53
"1115",5,4,53
"1116",6,NA,53
"1117",7,7,53
"1118",8,14,53
"1119",9,9,53
"1120",10,11,53
"1121",11,10,53
"1122",12,6,53
"1123",12,13,53
"1124",13,12,53
"1125",14,15,53
"1126",15,NA,53
"1127",16,16,53
"1128",1,2,54
"1129",2,1,54
"1130",2,3,54
"1131",2,5,54
"1132",3,1,54
"1133",3,2,54
"1134",4,10,54
"1135",4,14,54
"1136",5,NA,54
"1137",6,7,54
"1138",6,15,54
"1139",7,6,54
"1140",7,12,54
"1141",8,9,54
"1142",8,11,54
"1143",9,8,54
"1144",10,8,54
"1145",11,8,54
"1146",12,7,54
"1147",13,11,54
"1148",13,14,54
"1149",14,3,54
"1150",14,4,54
"1151",14,13,54
"1152",15,NA,54
"1153",16,16,54
"1154",1,1,55
"1155",2,2,55
"1156",3,3,55
"1157",4,8,55
"1158",4,15,55
"1159",5,7,55
"1160",6,12,55
"1161",7,NA,55
"1162",8,NA,55
"1163",9,9,55
"1164",10,11,55
"1165",11,10,55
"1166",12,6,55
"1167",13,13,55
"1168",14,14,55
"1169",15,4,55
"1170",16,16,55
"1171",1,7,56
"1172",2,3,56
"1173",2,12,56
"1174",2,14,56
"1175",3,2,56
"1176",3,9,56
"1177",3,12,56
"1178",4,5,56
"1179",5,4,56
"1180",5,7,56
"1181",6,6,56
"1182",7,1,56
"1183",8,NA,56
"1184",9,3,56
"1185",10,10,56
"1186",11,4,56
"1187",12,2,56
"1188",12,3,56
"1189",12,13,56
"1190",13,12,56
"1191",14,2,56
"1192",14,8,56
"1193",15,15,56
"1194",16,12,56
"1195",1,1,57
"1196",2,NA,57
"1197",3,12,57
"1198",4,5,57
"1199",5,4,57
"1200",6,12,57
"1201",7,7,57
"1202",8,NA,57
"1203",9,8,57
"1204",10,11,57
"1205",11,8,57
"1206",11,10,57
"1207",11,14,57
"1208",12,3,57
"1209",12,6,57
"1210",12,13,57
"1211",13,12,57
"1212",13,14,57
"1213",14,11,57
"1214",14,13,57
"1215",15,2,57
"1216",16,16,57
"1217",1,1,58
"1218",2,3,58
"1219",3,2,58
"1220",4,15,58
"1221",5,5,58
"1222",6,6,58
"1223",7,10,58
"1224",7,12,58
"1225",8,NA,58
"1226",9,8,58
"1227",10,11,58
"1228",11,10,58
"1229",12,7,58
"1230",12,13,58
"1231",13,12,58
"1232",14,13,58
"1233",15,4,58
"1234",16,16,58
"1235",1,1,59
"1236",2,3,59
"1237",3,2,59
"1238",4,5,59
"1239",5,4,59
"1240",5,14,59
"1241",6,6,59
"1242",7,10,59
"1243",8,NA,59
"1244",9,8,59
"1245",10,7,59
"1246",10,11,59
"1247",11,10,59
"1248",12,14,59
"1249",13,13,59
"1250",14,12,59
"1251",15,16,59
"1252",16,15,59
"1253",1,1,60
"1254",2,3,60
"1255",3,2,60
"1256",3,12,60
"1257",4,4,60
"1258",5,8,60
"1259",6,11,60
"1260",6,12,60
"1261",7,11,60
"1262",8,5,60
"1263",9,9,60
"1264",10,10,60
"1265",11,7,60
"1266",12,3,60
"1267",12,6,60
"1268",13,16,60
"1269",14,14,60
"1270",15,15,60
"1271",16,3,60
"1272",1,2,61
"1273",2,1,61
"1274",3,3,61
"1275",4,NA,61
"1276",5,4,61
"1277",6,10,61
"1278",7,11,61
"1279",8,9,61
"1280",9,8,61
"1281",10,11,61
"1282",11,7,61
"1283",11,10,61
"1284",12,13,61
"1285",13,NA,61
"1286",14,11,61
"1287",15,15,61
"1288",16,1,61
"1289",1,4,62
"1290",2,13,62
"1291",3,1,62
"1292",3,5,62
"1293",3,12,62
"1294",4,NA,62
"1295",5,2,62
"1296",5,3,62
"1297",6,2,62
"1298",7,7,62
"1299",8,NA,62
"1300",9,9,62
"1301",10,2,62
"1302",10,11,62
"1303",11,8,62
"1304",11,10,62
"1305",11,14,62
"1306",12,3,62
"1307",12,15,62
"1308",13,2,62
"1309",14,11,62
"1310",15,12,62
"1311",16,16,62
"1312",1,1,63
"1313",2,3,63
"1314",2,9,63
"1315",3,2,63
"1316",4,5,63
"1317",5,4,63
"1318",6,10,63
"1319",6,12,63
"1320",6,13,63
"1321",7,10,63
"1322",8,8,63
"1323",9,2,63
"1324",10,6,63
"1325",10,7,63
"1326",10,14,63
"1327",11,NA,63
"1328",12,6,63
"1329",12,13,63
"1330",13,6,63
"1331",13,12,63
"1332",14,10,63
"1333",15,15,63
"1334",16,11,63
"1335",1,NA,64
"1336",2,3,64
"1337",2,5,64
"1338",3,2,64
"1339",3,11,64
"1340",4,5,64
"1341",5,2,64
"1342",5,4,64
"1343",5,6,64
"1344",6,5,64
"1345",6,12,64
"1346",7,11,64
"1347",8,9,64
"1348",9,8,64
"1349",9,15,64
"1350",10,9,64
"1351",10,11,64
"1352",11,3,64
"1353",11,7,64
"1354",12,6,64
"1355",13,13,64
"1356",14,14,64
"1357",15,NA,64
"1358",16,1,64
"1359",1,1,65
"1360",2,13,65
"1361",3,3,65
"1362",4,NA,65
"1363",5,5,65
"1364",6,12,65
"1365",7,4,65
"1366",7,11,65
"1367",8,8,65
"1368",9,9,65
"1369",10,11,65
"1370",10,14,65
"1371",11,7,65
"1372",11,10,65
"1373",12,6,65
"1374",13,2,65
"1375",13,11,65
"1376",14,NA,65
"1377",15,15,65
"1378",16,16,65
"1379",1,1,66
"1380",2,3,66
"1381",3,NA,66
"1382",4,NA,66
"1383",5,5,66
"1384",6,NA,66
"1385",7,10,66
"1386",7,12,66
"1387",8,8,66
"1388",9,9,66
"1389",10,7,66
"1390",10,11,66
"1391",11,10,66
"1392",12,NA,66
"1393",13,3,66
"1394",13,6,66
"1395",14,4,66
"1396",15,15,66
"1397",16,16,66
"1398",1,1,67
"1399",2,NA,67
"1400",3,2,67
"1401",4,NA,67
"1402",5,4,67
"1403",6,6,67
"1404",7,8,67
"1405",7,10,67
"1406",8,11,67
"1407",9,15,67
"1408",10,NA,67
"1409",11,8,67
"1410",12,15,67
"1411",13,12,67
"1412",13,15,67
"1413",14,14,67
"1414",15,9,67
"1415",15,12,67
"1416",16,16,67
"1417",1,1,68
"1418",2,5,68
"1419",2,12,68
"1420",3,NA,68
"1421",4,4,68
"1422",5,NA,68
"1423",6,12,68
"1424",7,16,68
"1425",8,16,68
"1426",9,9,68
"1427",10,5,68
"1428",10,11,68
"1429",11,10,68
"1430",11,14,68
"1431",12,NA,68
"1432",13,6,68
"1433",14,3,68
"1434",14,11,68
"1435",15,16,68
"1436",16,7,68
"1437",16,8,68
"1438",1,13,69
"1439",2,3,69
"1440",3,2,69
"1441",3,12,69
"1442",3,15,69
"1443",4,4,69
"1444",5,5,69
"1445",6,NA,69
"1446",7,10,69
"1447",8,9,69
"1448",8,11,69
"1449",9,8,69
"1450",10,NA,69
"1451",11,7,69
"1452",11,8,69
"1453",11,14,69
"1454",12,3,69
"1455",12,6,69
"1456",12,13,69
"1457",13,1,69
"1458",13,12,69
"1459",14,11,69
"1460",15,NA,69
"1461",16,16,69
"1462",1,1,70
"1463",2,5,70
"1464",2,6,70
"1465",3,2,70
"1466",3,5,70
"1467",4,4,70
"1468",5,2,70
"1469",5,3,70
"1470",6,2,70
"1471",7,10,70
"1472",8,9,70
"1473",8,12,70
"1474",9,8,70
"1475",9,13,70
"1476",10,11,70
"1477",11,5,70
"1478",11,7,70
"1479",11,8,70
"1480",11,10,70
"1481",12,13,70
"1482",13,12,70
"1483",14,11,70
"1484",15,15,70
"1485",16,16,70
"1486",1,1,71
"1487",2,2,71
